topic,title,url,year,source_type,official_or_primary,license_checked,used_in_component,decision,owner,notes
Whittaker/HANTS/BFAST,Whittaker–Henderson smoothing (Wikipedia),"https://en.wikipedia.org/wiki/Whittaker%E2%80%93Henderson_smoothing",1923,wikipedia,false,false,baseline smoothing,candidate,ML,Classic smoother. License of Wikipedia content varies by version — verify before reuse.
Whittaker/HANTS/BFAST,HANTS: harmonic analysis of NDVI time series,https://www.sciencedirect.com/science/article/abs/pii/S0034425700000046,2000,paper,false,false,baseline smoothing,candidate,ML,Harmonic decomposition for NDVI gaps. License verification required.
Whittaker/HANTS/BFAST,BFAST: Breaks For Additive Season and Trend,https://bfast.r-forge.r-project.org/,2010,tool,false,false,break detection,candidate,ML,R package; useful for change-point detection in long NDVI series.
BRITS/SAITS/CSDI/PyPOTS,BRITS: Bidirectional Recurrent Imputation for Time Series,https://arxiv.org/abs/2105.11256,2021,paper,false,false,RNN imputation,candidate,ML,Baseline imputation model. License verification required.
BRITS/SAITS/CSDI/PyPOTS,SAITS: Self-Attention-based Imputation for Time Series,https://arxiv.org/abs/2202.08516,2022,paper,false,false,transformer imputation,candidate,ML,Strong transformer baseline for multivariate time series.
BRITS/SAITS/CSDI/PyPOTS,CSDI: Conditional Score-based Diffusion Imputation,https://arxiv.org/abs/2107.03502,2021,paper,false,false,diffusion imputation,candidate,ML,Diffusion-based imputation; compute-heavy.
BRITS/SAITS/CSDI/PyPOTS,PyPOTS: A Python toolbox for modern imputation,https://github.com/WenjieDu/PyPOTS,2023,tool,false,false,unified imputation library,candidate,ML,Implements BRITS/SAITS/CSDI under unified API. License: MIT (verify).
HLS/CDSE/MODIS/ERA5-Land,HLS (Harmonized Landsat Sentinel-2),https://hls.gsfc.nasa.gov/,2023,dataset,true,false,primary NDVI source,candidate,ML,Combined Landsat/Sentinel-2 surface reflectance. License: NASA open data.
HLS/CDSE/MODIS/ERA5-Land,CDSE (Copernicus Data Space Ecosystem),https://dataspace.copernicus.eu/,2024,dataset,true,false,Sentinel-2 access,candidate,ML,EU Copernicus programme; replaces Copernicus Open Access Hub.
HLS/CDSE/MODIS/ERA5-Land,MODIS (MODerate Resolution Imaging Spectroradiometer),https://modis.gsfc.nasa.gov/,2024,dataset,true,false,coarse NDVI fallback,candidate,ML,Daily 250m NDVI product. License: NASA open data.
HLS/CDSE/MODIS/ERA5-Land,ERA5-Land hourly data,https://www.ecmwf.int/en/era5-land,2024,dataset,true,false,weather context,candidate,ML,Reanalysis weather data. License: Copernicus licence (free with registration).
Fields of the World/WorldCereal/OSM,Fields of the World,https://github.com/fields-of-the-world/fields-of-the-world,2024,tool,false,false,field boundary dataset,candidate,ML,Global field boundary polygons. License verification required.
Fields of the World/WorldCereal/OSM,WorldCereal,https://worldcereal.org/,2024,tool,false,false,crop type maps,candidate,ML,Global crop type product at 10m. License verification required.
Fields of the World/WorldCereal/OSM,OpenStreetMap,https://www.openstreetmap.org/,2024,dataset,false,false,vector layers,candidate,backend,Community-maintained geographic data. License: ODbL.
PostGIS/PySTAC/stackstac/exactextract,PostGIS,https://postgis.net/,2024,tool,false,false,spatial DB,candidate,backend,PostgreSQL spatial extension. License: GPL.
PostGIS/PySTAC/stackstac/exactextract,PySTAC,https://github.com/stac-utils/pystac,2024,tool,false,false,STAC client,candidate,backend,Python client for STAC catalogues. License: Apache-2.0.
PostGIS/PySTAC/stackstac/exactextract,stackstac,https://github.com/gjoseph92/stackstac,2024,tool,false,false,dask-based STAC,candidate,backend,Build dask xarrays from STAC items. License: MIT.
PostGIS/PySTAC/stackstac/exactextract,exactextract,https://github.com/isciences/exactextract,2024,tool,false,false,raster-in-polygon extraction,candidate,backend,Accurate raster statistics inside polygons. License verification required.
SHAP/MAPIE,SHAP (SHapley Additive exPlanations),https://github.com/shap/shap,2024,tool,false,false,feature attribution,candidate,ML,Model interpretability. License: MIT.
SHAP/MAPIE,MAPIE (Model Agnostic Prediction Interval Estimator),https://github.com/scikit-learn-contrib/MAPIE,2024,tool,false,false,conformal prediction,candidate,ML,Uncertainty quantification. License: BSD-3-Clause.
